name,screen_name,followers_count,friends_count
shrikant paygavhane,patilshrikant,121,155
Rohit Singh,Shid2288,18,111
Amit ranjan,Amitran79430576,1,36
Mihir patel,Mihir19Patel,113,596
RISHIRAJ DHAMI,RISHIRAJDHAMI,3,61
Raman Bansal,RamanBa28666910,10,66
Amol Ratan Shinde,AmolRatanShind1,66,893
Social Media IT Cell,SMO_ITCell,65026,59582
Himanshu,himanshu6444,52,2605
Thakur Saab,ThakurS45031651,1173,4984
Jagadeesha,Jagadee44679732,14,608
Dr.Nitin bibavepatil,nitinbibave,1,40
UMESH BALAR,Balarumesh96,8,151
VISHAL V KURDEKAR,VISHALVK1995,43,1305
Dinesh kumar swami,Dineshkumarswa8,0,48
Ogulcan Karaibrahim,ogulcnkaraibrhm,352,398
Nijanthan Mani,nstartheking,186,564
Prashant T Junghare,jungharept,13,289
raghupathi sundaram,sunpathi,2,68
Vinothraj,Vinothraj999,58,378
Tarun Radadiya,RadadiyaTarun,44,221
Keerthivasan,Keerthivn,20,524
s.,asasdass,168,339
Akshay Mishra,AkshayMishra190,35,921
srivalli,srivalli112,3,177
Niranjan Kumar,nir_kr,8,18
Jeevan Deshpande,JeevanDeshpand7,27,692
ROSHAN MEHTA,roshanmehta155,20,40
ninad.sarfare@gmail.,ninad_sarfare,8,97
Sikander Bhatia,siikander,66,1185
pravin S Joshi,pravin_joshi123,16,77
Mukesh Parmar,mukesh1680,76,176
richa pradhan,pradhan_rich,13,171
Anand Jeeva,AnandJeeva12,94,2264
Srinidhi Rao,SrinidhiRao8,69,1305
Sakshi Dubey,isakshidubey,6,403
Sanjay,Sanjay80090866,16,99
Razin Neoupanay,RazinNeoupanay,4,149
Deepak D Nichal,deepak_nichal,13,128
CABharat Mandhiyani@,mandhiyani,78,168
Rajesh Vishnupurikar,RVishnupurikar,6,15
ReadtoLead001,ReadtoLead001,498,2321
dhananjayan,bmwdjayan,14,171
World HRD Congress,WHRDC25,378,342
Ajay Sharma,AjaySha89866310,193,1109
Gitesh Mahajan,Gitesh_Mahajan,28,42
Amit Aarya,amitaarya_LLB,86,1199
MohanSeenuvasan,gyanammohan,194,419
Chengalvarayan,Chengalkn,44,67
Vijay Jha,vijayjha01,14,219
Mahendra Singh,MahendraMarc,4,77
priyank parikh,parikh_priyank_,1,27
